behavior,group,n,rate_pct,rr,chi2_p,sig
has_playbook,converter,7642,0.5,9.06,0.0,***
has_playbook,non_converter,311406,0.1,,,
has_merge,converter,7642,5.9,3.68,0.0,***
has_merge,non_converter,311406,1.6,,,
has_ci,converter,7642,3.6,3.67,0.0,***
has_ci,non_converter,311406,1.0,,,
has_mcp_tool,converter,7642,3.0,3.05,0.0,***
has_mcp_tool,non_converter,311406,1.0,,,
has_pr,converter,7642,8.5,2.42,0.0,***
has_pr,non_converter,311406,3.5,,,
has_checkpoint,converter,7642,2.6,2.06,0.0,***
has_checkpoint,non_converter,311406,1.3,,,
has_testing_setup,converter,7642,1.7,1.38,0.000246,***
has_testing_setup,non_converter,311406,1.3,,,
has_computer_use,converter,7642,5.5,1.24,1.2e-05,***
has_computer_use,non_converter,311406,4.4,,,
completed_onboarding,converter,7642,10.9,0.84,0.0,***
completed_onboarding,non_converter,311406,13.0,,,
used_review,converter,7642,10.4,0.76,0.0,***
used_review,non_converter,311406,13.7,,,
