category,feature_or_bucket,level,used_n,used_d30_pct,not_used_d30_pct,rr_d30,chi_sq_p,sig,low_n_flag
PART1_known,mcp_tool_call,used_vs_never,208,40.4,49.4,0.818,1.317e-02,sig,0
PART1_known,computer_use,used_vs_never,619,36.0,50.6,0.712,8.796e-12,sig,0
PART1_known,web_search,used_vs_never,483,34.4,50.4,0.682,2.067e-11,sig,0
PART1_known,playbook_triggered,used_vs_never,17,58.8,49.0,1.200,5.731e-01,LOW-N,1
PART1_known,checkpoint_restored,used_vs_never,261,41.0,49.4,0.829,9.209e-03,sig,0
PART1_known,check_run_created,used_vs_never,182,48.9,49.1,0.997,1.000e+00,ns,0
PART1_known,pr_comment,used_vs_never,97,55.7,48.9,1.137,2.260e-01,ns,0
PART1_known,suggest_testing_setup,used_vs_never,157,45.2,49.2,0.920,3.711e-01,ns,0
PART1_known,structured_output_update,used_vs_never,10,90.0,49.0,1.837,2.289e-02,LOW-N,1
PART1_known,has_pr,used_vs_never,484,41.5,49.8,0.835,6.350e-04,sig,0
PART1_known,has_merge,used_vs_never,336,44.0,49.4,0.892,6.602e-02,ns,0
PART1_known,devin_review,used_vs_never,1046,36.4,51.9,0.702,2.173e-19,sig,0
PART1_known,automation_create,used_vs_never,15,60.0,49.0,1.224,5.552e-01,LOW-N,1
PART1_known,mcp_shortcut,used_vs_never,0,0.0,49.1,0.000,nan,LOW-N,1
PART3_discovered,web_create_session,used_vs_never,966,32.5,52.4,0.620,2.342e-29,sig,0
PART3_discovered,devin_create_pr,used_vs_never,480,41.5,49.8,0.833,5.976e-04,sig,0
PART3_discovered,test_recording,used_vs_never,183,38.3,49.4,0.774,3.759e-03,sig,0
PART3_discovered,deepwiki_view,used_vs_never,113,53.1,49.0,1.084,4.402e-01,ns,0
PART3_discovered,merge_via_devin_ui,used_vs_never,91,44.0,49.1,0.894,3.809e-01,ns,0
PART3_discovered,voice_recording,used_vs_never,66,40.9,49.2,0.832,2.268e-01,ns,0
PART3_discovered,devin_takeover_pr,used_vs_never,43,46.5,49.1,0.948,8.551e-01,LOW-N,1
PART3_discovered,slash_command,used_vs_never,20,50.0,49.1,1.019,1.000e+00,LOW-N,1
PART3_discovered,index_repo,used_vs_never,11,54.5,49.1,1.112,9.503e-01,LOW-N,1
PART3_discovered,onboarding_tour,used_vs_never,1046,35.7,52.0,0.685,1.282e-21,sig,0
PART3_discovered,note_used,used_vs_never,339,44.0,49.4,0.890,5.964e-02,ns,0
PART3_discovered,git_push,used_vs_never,495,41.4,49.8,0.832,4.432e-04,sig,0
PART3_discovered,user_question_answered,used_vs_never,701,37.1,50.7,0.731,1.748e-11,sig,0
PART3_discovered,web_get_contents,used_vs_never,464,36.4,50.2,0.726,1.788e-08,sig,0
PART3_discovered,tool_help_called,used_vs_never,539,34.0,50.6,0.671,2.379e-13,sig,0
PART3_discovered,self_suspend,used_vs_never,585,32.3,51.0,0.634,1.760e-17,sig,0
PART2_signal,sessions_count,0,4707,52.2,,,1.587e-22,sig,0
PART2_signal,sessions_count,1,298,35.2,,,1.587e-22,sig,0
PART2_signal,sessions_count,2-3,298,30.5,,,1.587e-22,sig,0
PART2_signal,sessions_count,4-7,253,36.0,,,1.587e-22,sig,0
PART2_signal,sessions_count,8+,196,38.8,,,1.587e-22,sig,0
PART2_signal,prs_created,0,5268,49.8,,,9.394e-05,sig,0
PART2_signal,prs_created,1-2,173,32.4,,,9.394e-05,sig,0
PART2_signal,prs_created,3-5,94,44.7,,,9.394e-05,sig,0
PART2_signal,prs_created,6+,217,47.5,,,9.394e-05,sig,0
PART2_signal,total_acu,0,4707,52.2,,,6.203e-24,sig,0
PART2_signal,total_acu,0-5,237,33.3,,,6.203e-24,sig,0
PART2_signal,total_acu,15+,624,37.5,,,6.203e-24,sig,0
PART2_signal,total_acu,5-15,184,27.2,,,6.203e-24,sig,0
PART2_signal,active_days_14d,1,680,29.3,,,1.874e-156,sig,0
PART2_signal,active_days_14d,2-3,1488,29.7,,,1.874e-156,sig,0
PART2_signal,active_days_14d,4-7,2364,52.5,,,1.874e-156,sig,0
PART2_signal,active_days_14d,8+,1220,77.0,,,1.874e-156,sig,0
PART2_signal,days_to_first_session,0,763,32.9,,,3.425e-22,sig,0
PART2_signal,days_to_first_session,1,63,36.5,,,3.425e-22,sig,0
PART2_signal,days_to_first_session,2-3,60,43.3,,,3.425e-22,sig,0
PART2_signal,days_to_first_session,4-7,74,35.1,,,3.425e-22,sig,0
PART2_signal,days_to_first_session,7+,85,43.5,,,3.425e-22,sig,0
PART2_signal,days_to_first_session,never,4707,52.2,,,3.425e-22,sig,0
PART2_signal,days_to_first_pr,0,284,41.5,,,8.735e-03,sig,0
PART2_signal,days_to_first_pr,1,42,38.1,,,8.735e-03,sig,1
PART2_signal,days_to_first_pr,2-3,45,53.3,,,8.735e-03,sig,1
PART2_signal,days_to_first_pr,4-7,58,36.2,,,8.735e-03,sig,0
PART2_signal,days_to_first_pr,7+,55,40.0,,,8.735e-03,sig,0
PART2_signal,days_to_first_pr,never,5268,49.8,,,8.735e-03,sig,0
PART2_signal,first_pr_to_merge,1-3d,11,63.6,,,1.058e-03,sig,1
PART2_signal,first_pr_to_merge,4-7d,5,20.0,,,1.058e-03,sig,1
PART2_signal,first_pr_to_merge,8+d,3,66.7,,,1.058e-03,sig,1
PART2_signal,first_pr_to_merge,never,140,33.6,,,1.058e-03,sig,0
PART2_signal,first_pr_to_merge,no_pr,5268,49.8,,,1.058e-03,sig,0
PART2_signal,first_pr_to_merge,same_day,325,44.3,,,1.058e-03,sig,0
PART2_signal,consecutive_days,no,1164,31.0,,,4.547e-43,sig,0
PART2_signal,consecutive_days,yes,4588,53.6,,,4.547e-43,sig,0
PART2_signal,returned_within_3d,no,1174,37.7,,,4.344e-18,sig,0
PART2_signal,returned_within_3d,yes,4578,52.0,,,4.344e-18,sig,0
PART2_signal,distinct_repos,0,5282,49.7,,,1.818e-05,sig,0
PART2_signal,distinct_repos,1,318,36.2,,,1.818e-05,sig,0
PART2_signal,distinct_repos,2,95,50.5,,,1.818e-05,sig,0
PART2_signal,distinct_repos,3+,57,59.6,,,1.818e-05,sig,0
PART2_signal,avg_session_acu,high_10+,308,44.5,,,3.009e-26,sig,0
PART2_signal,avg_session_acu,low_<2,266,32.3,,,3.009e-26,sig,0
PART2_signal,avg_session_acu,medium_2-10,471,29.7,,,3.009e-26,sig,0
PART2_signal,avg_session_acu,no_session,4707,52.2,,,3.009e-26,sig,0
PART2_signal,pr_session_ratio,0%,554,28.5,,,4.860e-26,sig,0
PART2_signal,pr_session_ratio,1-25%,53,34.0,,,4.860e-26,sig,0
PART2_signal,pr_session_ratio,25-50%,126,40.5,,,4.860e-26,sig,0
PART2_signal,pr_session_ratio,50%+,312,43.6,,,4.860e-26,sig,0
PART2_signal,pr_session_ratio,no_session,4707,52.2,,,4.860e-26,sig,0
PART2_signal,messages_sent,0,5752,49.1,,,1.000e+00,ns,0
